"team","season","qb_p","team_avg_qb_spend","spend_above_avg"
Dallas Cowboys,2022,0.102,0.090,0.012
Jacksonville Jaguars,2013,0.068,0.057,0.011
Miami Dolphins,2016,0.086,0.076,0.010
Buffalo Bills,2017,0.061,0.051,0.010
Cleveland Browns,2022,0.072,0.063,0.009
Cleveland Browns,2016,0.071,0.063,0.008
Las Vegas Raiders,2021,0.141,0.133,0.008
San Francisco 49ers,2015,0.12,0.112,0.008
New York Jets,2022,0.069,0.062,0.007
Green Bay Packers,2014,0.145,0.137,0.007
Pittsburgh Steelers,2015,0.142,0.135,0.007
Carolina Panthers,2015,0.108,0.101,0.007
Dallas Cowboys,2014,0.096,0.090,0.006
Tampa Bay Buccaneers,2022,0.076,0.070,0.006
Indianapolis Colts,2021,0.121,0.116,0.005
Philadelphia Eagles,2019,0.076,0.071,0.005
Atlanta Falcons,2018,0.126,0.122,0.004
Tampa Bay Buccaneers,2021,0.074,0.070,0.004
Pittsburgh Steelers,2018,0.139,0.135,0.004
Jacksonville Jaguars,2018,0.061,0.057,0.004
New York Jets,2016,0.065,0.062,0.003
Green Bay Packers,2015,0.14,0.137,0.003
Jacksonville Jaguars,2017,0.06,0.057,0.003
San Francisco 49ers,2019,0.114,0.112,0.002
New England Patriots,2017,0.087,0.085,0.002
Cincinnati Bengals,2015,0.071,0.071,0.001
Tampa Bay Buccaneers,2018,0.071,0.070,0.001
New Orleans Saints,2017,0.122,0.121,0.001
Jacksonville Jaguars,2015,0.057,0.057,0.000
Cleveland Browns,2019,0.063,0.063,0.000
Arizona Cardinals,2015,0.083,0.083,0.000
San Diego Chargers,2014,0.134,0.134,0.000
Washington Commanders,2022,0.158,0.158,0.000
Tampa Bay Buccaneers,2017,0.07,0.070,0.000
Oakland Raiders,2014,0.071,0.072,-0.001
Los Angeles Rams,2022,0.08,0.081,-0.001
New Orleans Saints,2016,0.12,0.121,-0.001
Miami Dolphins,2022,0.075,0.076,-0.001
San Francisco 49ers,2022,0.109,0.112,-0.003
Chicago Bears,2013,0.091,0.094,-0.003
Carolina Panthers,2022,0.098,0.101,-0.003
Jacksonville Jaguars,2022,0.054,0.057,-0.003
Cleveland Browns,2020,0.06,0.063,-0.003
Seattle Seahawks,2017,0.092,0.096,-0.004
Arizona Cardinals,2022,0.079,0.083,-0.004
Minnesota Vikings,2020,0.112,0.116,-0.004
Kansas City Chiefs,2013,0.087,0.092,-0.005
San Diego Chargers,2013,0.129,0.134,-0.005
Pittsburgh Steelers,2020,0.13,0.135,-0.005
Buffalo Bills,2014,0.046,0.051,-0.005
Philadelphia Eagles,2016,0.064,0.071,-0.007
